time	Freq	W	B2	B1
2022-04-20, 15:35:04	1500 Hz	15 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:06	1500 Hz	15 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:08	1500 Hz	16 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:10	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:12	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:14	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:16	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:18	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:20	1500 Hz	16 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:22	1500 Hz	16 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:24	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:26	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:28	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:30	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:32	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:34	1500 Hz	15 W	5,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:36	1500 Hz	16 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:38	1500 Hz	15 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:40	1500 Hz	15 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:42	1500 Hz	15 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:44	1500 Hz	15 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:46	1500 Hz	16 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:48	1500 Hz	16 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:50	1500 Hz	15 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:52	1500 Hz	15 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:54	1500 Hz	15 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:56	1500 Hz	15 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:58	1500 Hz	16 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:00	1500 Hz	16 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:02	1500 Hz	16 W	5,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:04	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:06	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:08	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:10	1500 Hz	16 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:12	1500 Hz	16 W	5,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:36:14	1500 Hz	15 W	5,4E-6 mbar	1,5E-4 mbar
